Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,0.3658543424730163,0.0007145592626426099,0.3658543424730166,0.0007145592626426106,0.3658543424730166,0.0007145592626426106,0.0,0.0,0.3658543424730166,0.0007145592626426106,0.15441542083386262,0.15441542083386262,7.539815470403448e-05,0.000412966643826472,,2560,2048,512,4.0,0
1,0.31711397950658515,0.0006193632412237991,0.21335623675819756,0.0004167113999183546,0.21335623675819756,0.0004167113999183546,0.0,0.1037577427483849,0.21335623675819756,0.0004167113999183546,0.11000517700658596,0.006247434258201068,3.05050500888724e-06,0.0004045093798828109,0.05065767808547772,2560,2048,512,4.0,0
2,0.34852063133386046,0.0006807043580739462,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386262,0.15441542083386262,7.539815470403448e-05,0.0003791117392578083,0.6432481281499309,2560,2048,512,4.0,0
3,0.34852063133386046,0.0006807043580739462,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386262,0.15441542083386262,7.539815470403448e-05,0.0003791117392578083,0.505172371340227,2560,2048,512,4.0,0
4,0.3485206313338871,0.0006807043580739983,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386128,0.15441542083386128,7.539815470403383e-05,0.00037911173925786294,2.667185345616166,2560,2048,512,4.0,0
5,0.34852063133371836,0.0006807043580736687,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386217,0.15441542083386217,7.539815470403426e-05,0.0003791117392575316,2.2583460175971855,2560,2048,512,4.0,0
6,0.3637320518064424,0.0007104141636844578,0.3637320518063517,0.0007104141636842807,0.3637320518063517,0.0007104141636842807,0.0,0.0,0.3637320518063517,0.0007104141636842807,0.15441542083386217,0.15441542083386217,7.539815470403426e-05,0.0004088215448683208,4.45457619910276,2560,2048,512,4.0,0
7,0.21209547747421809,0.0004142489794418322,0.21174388209153117,0.0004135622697100218,0.21174388209153117,0.0004135622697100218,0.0,0.00035159538260742806,0.21174388209153117,0.0004135622697100218,0.006610122974141319,0.006258527591533891,3.055921675553658e-06,0.00040133858300796244,0.18190480921313146,2560,2048,512,4.0,0
8,0.365854342473078,0.0007145592626427305,0.3658543424730166,0.0007145592626426106,0.3658543424730166,0.0007145592626426106,0.0,0.0,0.3658543424730166,0.0007145592626426106,0.15441542083386217,0.15441542083386217,7.539815470403426e-05,0.00041296664382659345,1.0960923187929819,2560,2048,512,4.0,0
9,0.30727130317740503,0.0006001392640183692,0.21335623675819756,0.0004167113999183546,0.21335623675819756,0.0004167113999183546,0.0,0.09391506641914482,0.21335623675819756,0.0004167113999183546,0.10016250067734589,0.006247434258201068,3.05050500888724e-06,0.000404509379882928,0.06050035441471735,2560,2048,512,4.0,0
10,0.34852063133371836,0.0006807043580736687,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386217,0.15441542083386217,7.539815470403426e-05,0.0003791117392575316,0.4934333919196483,2560,2048,512,4.0,0
11,0.3658543424729661,0.0007145592626425119,0.3658543424730166,0.0007145592626426106,0.3658543424730166,0.0007145592626426106,0.0,0.0,0.3658543424730166,0.0007145592626426106,0.15441542083386217,0.15441542083386217,7.539815470403426e-05,0.0004129666438263749,1.4078310557323075,2560,2048,512,4.0,0
12,0.3139828502313957,0.0006132477543581948,0.21335623675819756,0.0004167113999183546,0.21335623675819756,0.0004167113999183546,0.0,0.10062661347324742,0.21335623675819756,0.0004167113999183546,0.10687404773145026,0.006247434258202844,3.0505050088881075e-06,0.00040450937988270597,0.053788807360614754,2560,2048,512,4.0,0
13,0.3485206313339475,0.0006807043580741162,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386395,0.15441542083386395,7.539815470403513e-05,0.0003791117392579757,0.44338333832735977,2560,2048,512,4.0,0
14,0.3485206313339475,0.0006807043580741162,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386395,0.15441542083386395,7.539815470403513e-05,0.0003791117392579757,2.098984002445146,2560,2048,512,4.0,0
15,0.3485206313339475,0.0006807043580741162,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386395,0.15441542083386395,7.539815470403513e-05,0.0003791117392579757,1.5746585084848022,2560,2048,512,4.0,0
16,0.3485206313339475,0.0006807043580741162,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386395,0.15441542083386395,7.539815470403513e-05,0.0003791117392579757,0.4980528379336455,2560,2048,512,4.0,0
17,0.3485206313339475,0.0006807043580741162,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386395,0.15441542083386395,7.539815470403513e-05,0.0003791117392579757,1.7796174126035247,2560,2048,512,4.0,0
18,0.3658543424729679,0.0007145592626425154,0.3658543424730166,0.0007145592626426106,0.3658543424730166,0.0007145592626426106,0.0,0.0,0.3658543424730166,0.0007145592626426106,0.15441542083386395,0.15441542083386395,7.539815470403513e-05,0.0004129666438263749,3.315476188446194,2560,2048,512,4.0,0
19,0.35473172048347834,0.0006928353915692936,0.21335623675819756,0.0004167113999183546,0.21335623675819756,0.0004167113999183546,0.0,0.14137548372533004,0.21335623675819756,0.0004167113999183546,0.1476229179835329,0.006247434258202844,3.0505050088881075e-06,0.00040450937988270597,0.013039937108533906,2560,2048,512,4.0,0
20,0.3485206313339475,0.0006807043580741162,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386395,0.15441542083386395,7.539815470403513e-05,0.0003791117392579757,3.2779317241811015,2560,2048,512,4.0,0
21,0.3485206313339475,0.0006807043580741162,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386395,0.15441542083386395,7.539815470403513e-05,0.0003791117392579757,2.3955798819469685,2560,2048,512,4.0,0
22,0.3533846198067394,0.0006902043355600379,0.3533846198063483,0.000690204335559274,0.3533846198063483,0.000690204335559274,0.0,0.0,0.3533846198063483,0.000690204335559274,0.15441542083386395,0.15441542083386395,7.539815470403513e-05,0.0003886117167438974,0.8317901729971595,2560,2048,512,4.0,0
23,0.20124684094200518,0.00039306023621485386,0.2010522474248681,0.0003926801707516955,0.2010522474248681,0.0003926801707516955,0.0,0.0001945935167952939,0.2010522474248681,0.0003926801707516955,0.006479694441665629,0.006285100924870335,3.068896935971843e-06,0.0003804045830084757,0.33797253617454004,2560,2048,512,4.0,0
24,0.3485206313341749,0.0006807043580745603,0.3485206313338617,0.0006807043580739486,0.3485206313338617,0.0006807043580739486,0.0,0.0,0.3485206313338617,0.0006807043580739486,0.15441542083386395,0.15441542083386395,7.539815470403513e-05,0.0003791117392584198,6.0,2560,2048,512,4.0,0
