Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,4.875185439446941,0.009521846561419807,4.8751854394468745,0.009521846561419677,4.8751854394468745,0.009521846561419677,0.0,0.0,4.8751854394468745,0.009521846561419677,0.25327426750826687,0.25327426750826687,0.00012366907593177093,0.009027170257692722,,2560,2048,512,4.0,0
1,4.86501778513202,0.009501987861585976,4.66240119570916,0.009106252335369453,4.66240119570916,0.009106252335369453,0.0,0.20261658942278915,4.66240119570916,0.009106252335369453,0.4329312112943784,0.23031462187158924,0.00011245831146073693,0.008656419089526642,0.05065767808547772,2560,2048,512,4.0,0
2,4.47280039592573,0.008735938273292441,4.4725788390896595,0.008735505545096991,4.4725788390896595,0.008735505545096991,0.0,0.00022155683598201747,4.4725788390896595,0.008735505545096991,0.1846637219563818,0.1844421651203998,9.005965093769521e-05,0.008375266941346382,0.6432481281499309,2560,2048,512,4.0,0
3,4.332021566337516,0.00846097962175296,4.328622490015051,0.008454340800810646,4.328622490015051,0.008454340800810646,0.0,0.003399076322393224,4.328622490015051,0.008454340800810646,0.14401324467399013,0.1406141683515969,6.865926189042817e-05,0.008179703753249074,0.505172371340227,2560,2048,512,4.0,0
4,4.470962183919079,0.008732348015466952,4.467600864594186,0.008725782938660519,4.467600864594186,0.008725782938660519,0.0,0.00336131932474526,4.467600864594186,0.008725782938660519,0.09380077734970449,0.09043945802495923,4.4159891613749624e-05,0.00854914337220581,2.667185345616166,2560,2048,512,4.0,0
5,4.4218733126394465,0.008636471313748919,4.416927584753108,0.008626811688970915,4.416927584753108,0.008626811688970915,0.0,0.004945727886271456,4.416927584753108,0.008626811688970915,0.2286941177088302,0.22374838982255874,0.00010925214346804626,0.00818980311509886,2.2583460175971855,2560,2048,512,4.0,0
6,5.037956349174166,0.009839758494480794,5.037956349173985,0.00983975849448044,5.037956349173985,0.00983975849448044,0.0,0.0,5.037956349173985,0.00983975849448044,0.2532742675082673,0.2532742675082673,0.00012366907593177115,0.009345082190753709,4.45457619910276,2560,2048,512,4.0,0
7,4.896544662919647,0.009563563794764935,4.825175204624336,0.009424170321531906,4.825175204624336,0.009424170321531906,0.0,0.07136945829513586,4.825175204624336,0.009424170321531906,0.30168408016672643,0.23031462187159057,0.00011245831146073759,0.008974337075689297,0.18190480921313146,2560,2048,512,4.0,0
8,4.6929967486543305,0.00916600927471549,4.685739216131949,0.009151834406507712,4.685739216131949,0.009151834406507712,0.0,0.007257532522327637,4.685739216131949,0.009151834406507712,0.22395125789697978,0.21669372537465215,0.00010580748309309187,0.00872860447413545,1.0960923187929819,2560,2048,512,4.0,0
9,4.664890455277149,0.009111114170463182,4.545584052795479,0.00887809385311617,4.545584052795479,0.00887809385311617,0.0,0.11930640248161062,4.545584052795479,0.00887809385311617,0.2725055894537487,0.15319918697213808,7.48042905137393e-05,0.008578876691061329,0.06050035441471735,2560,2048,512,4.0,0
