time_stats.mla_block_norm.min,time_stats.mla_block_norm.max,time_stats.mla_block_norm.mean,time_stats.mla_block_norm.median,time_stats.mla_block_norm.std,time_stats.mla_q_down_proj.min,time_stats.mla_q_down_proj.max,time_stats.mla_q_down_proj.mean,time_stats.mla_q_down_proj.median,time_stats.mla_q_down_proj.std,time_stats.mla_q_up_proj.min,time_stats.mla_q_up_proj.max,time_stats.mla_q_up_proj.mean,time_stats.mla_q_up_proj.median,time_stats.mla_q_up_proj.std,time_stats.mla_kv_down_proj.min,time_stats.mla_kv_down_proj.max,time_stats.mla_kv_down_proj.mean,time_stats.mla_kv_down_proj.median,time_stats.mla_kv_down_proj.std,time_stats.mla_kv_up_proj.min,time_stats.mla_kv_up_proj.max,time_stats.mla_kv_up_proj.mean,time_stats.mla_kv_up_proj.median,time_stats.mla_kv_up_proj.std,time_stats.mla_rope.min,time_stats.mla_rope.max,time_stats.mla_rope.mean,time_stats.mla_rope.median,time_stats.mla_rope.std,time_stats.mla_attn_score.min,time_stats.mla_attn_score.max,time_stats.mla_attn_score.mean,time_stats.mla_attn_score.median,time_stats.mla_attn_score.std,time_stats.mla_o_proj.min,time_stats.mla_o_proj.max,time_stats.mla_o_proj.mean,time_stats.mla_o_proj.median,time_stats.mla_o_proj.std,time_stats.mla_block_residual.min,time_stats.mla_block_residual.max,time_stats.mla_block_residual.mean,time_stats.mla_block_residual.median,time_stats.mla_block_residual.std,hidden_size,num_heads,kv_lora_rank,q_lora_rank,qk_nope_head_dim,qk_rope_head_dim,v_head_dim,num_tokens
0.06467200070619583,0.07939200103282928,0.0671839989721775,0.06593599915504456,0.0041284780954322945,0.13276800513267517,0.13513599336147308,0.13378239870071412,0.1337919980287552,0.0006186918511057784,0.40825599431991577,0.4108799993991852,0.40933440029621126,0.40937599539756775,0.0007784674760147431,0.0729919970035553,0.07568000257015228,0.07389440014958382,0.07371200248599052,0.0007083220651708282,0.24691200256347656,0.24995200335979462,0.24822400212287904,0.24796800315380096,0.0009114121483984973,0.0982080027461052,0.09916800260543823,0.09874880090355873,0.09881599992513657,0.0003010209687317079,0.1555519998073578,0.15875199437141418,0.1578559994697571,0.15806400030851364,0.0008442181400522632,1.2231040000915527,1.2273919582366943,1.2255552053451537,1.2257599830627441,0.001459706520591894,0.057760000228881836,0.059167999774217606,0.05854719989001751,0.058639999479055405,0.0003948340430867719,7168,128,512,1536,128,64,128,4096
0.06515199691057205,0.07651200145483017,0.06897279918193817,0.06883200258016586,0.0027889327457442134,0.13443200290203094,0.14291200041770935,0.14100479930639268,0.1425120010972023,0.003051236545309593,0.40956801176071167,0.42294400930404663,0.41912960410118105,0.4212319999933243,0.004762791279711889,0.07334399968385696,0.0764160007238388,0.07488320022821426,0.07496000081300735,0.0008042705320442629,0.24767999351024628,0.2565760016441345,0.25161599814891816,0.2516319900751114,0.0023624146563950145,0.09865599870681763,0.10924799740314484,0.10380799919366837,0.10439999774098396,0.002890504825815543,0.15904000401496887,0.19177600741386414,0.1755040019750595,0.1775519996881485,0.008947891283672784,1.2285120487213135,1.2913919687271118,1.2459200143814086,1.2424160242080688,0.015719658589297785,0.05769599974155426,0.05955199897289276,0.05862399972975254,0.0585120003670454,0.0006624853306962275,7168,128,512,1536,128,64,128,4096
0.0695360004901886,0.11088000237941742,0.07424000129103661,0.07043199986219406,0.01222142836433729,0.15062400698661804,0.18812799453735352,0.15459199845790864,0.1507679969072342,0.01118082795407027,0.45126399397850037,0.4559360146522522,0.45248959958553314,0.4522719979286194,0.0012155871351114233,0.07715199887752533,0.07836800068616867,0.07771519869565964,0.07782399654388428,0.00037213635369522547,0.23110400140285492,0.23254400491714478,0.23180480003356935,0.23176000267267227,0.00048116136307052045,0.10889600217342377,0.11007999628782272,0.109391999989748,0.10937599837779999,0.0003465010352585904,0.1884479969739914,0.18960000574588776,0.18884479850530625,0.18881599605083466,0.00030799982007140975,1.2878400087356567,1.2955199480056763,1.290492796897888,1.288960039615631,0.0028466684354716454,0.057760000228881836,0.059328000992536545,0.05829439982771874,0.05817599967122078,0.0004621868239252785,7168,128,512,1536,128,64,128,4064
0.06908799707889557,0.08111999928951263,0.07105600014328957,0.0697920024394989,0.0034160428670169008,0.1499200016260147,0.15571199357509613,0.15105599761009217,0.15065599977970123,0.001613906409484689,0.45097601413726807,0.470335990190506,0.4535135984420776,0.45156800746917725,0.0056347976089620565,0.07760000228881836,0.08025600016117096,0.07832639962434769,0.07807999849319458,0.0007729242289964228,0.23107199370861053,0.2412479966878891,0.23289919942617415,0.23174400627613068,0.0028708980488828697,0.1082879975438118,0.11209599673748016,0.10895039886236191,0.10857599973678589,0.001073888941023104,0.18828800320625305,0.19763199985027313,0.18965440094470978,0.18881600350141525,0.002679913289566512,1.4591679573059082,1.5392639636993408,1.4730783939361571,1.4660639762878418,0.022571183999355232,0.05596800148487091,0.057440001517534256,0.05679680034518242,0.05713599920272827,0.0006164383963036113,7168,128,512,1536,128,64,128,4032
0.06921599805355072,0.08182399719953537,0.07122879922389984,0.07028799876570702,0.0035718202249845556,0.150751993060112,0.15702399611473083,0.1525183990597725,0.1515199989080429,0.0021577507268374686,0.4556480050086975,0.4721919894218445,0.45968000292778016,0.45633600652217865,0.006362431014463113,0.07769600301980972,0.0806720033288002,0.07888960018754006,0.07867199927568436,0.0008266967169773443,0.23296000063419342,0.24297599494457245,0.23515839725732804,0.23390399664640427,0.002888344221427235,0.1085439994931221,0.11104000359773636,0.10922560170292854,0.10891200229525566,0.0007028433963589167,0.18873600661754608,0.19494399428367615,0.1900736004114151,0.18939200043678284,0.0017643450081794563,1.4699519872665405,1.5388480424880981,1.4872992038726807,1.484495997428894,0.019101301817819254,0.05539200082421303,0.05737600103020668,0.05628480054438114,0.056432001292705536,0.0006072330559436177,7168,128,512,1536,128,64,128,4000
0.06864000111818314,0.08111999928951263,0.07107520028948784,0.07017600163817406,0.003427002492475895,0.15142400562763214,0.15356799960136414,0.15235200077295302,0.15220800042152405,0.0006375954020930543,0.4607999920845032,0.46160000562667847,0.46112319827079773,0.46115200221538544,0.00024093990983800322,0.07804799824953079,0.08003199845552444,0.078889599442482,0.07894399762153625,0.0005409889885895903,0.21420800685882568,0.21583999693393707,0.21489600092172623,0.2149759978055954,0.0005285793659812518,0.10838399827480316,0.10969600081443787,0.10885760039091111,0.10873600095510483,0.00036508093131508597,0.19043199717998505,0.19103999435901642,0.1908063992857933,0.19086399674415588,0.00021034876474159013,1.3126720190048218,1.3154560327529907,1.3138336062431335,1.3138720393180847,0.0007512974835012012,0.056384000927209854,0.05798399820923805,0.05704319998621941,0.056991999968886375,0.0005503992441791397,7168,128,512,1536,128,64,128,3968
0.0684799998998642,0.08006399869918823,0.0702239990234375,0.06910399720072746,0.0033141324765554063,0.1493760049343109,0.15296000242233276,0.15152640044689178,0.1517760008573532,0.0009156473224491719,0.4559679925441742,0.4615040123462677,0.4596864014863968,0.4609439969062805,0.0021353768422749226,0.0777600035071373,0.07999999821186066,0.07871040031313896,0.07864000275731087,0.000674896164622662,0.21209600567817688,0.2160000056028366,0.21396480202674867,0.21427199989557266,0.0012496552368564933,0.10742399841547012,0.10835199803113937,0.10798080042004585,0.1080160029232502,0.00027460359628424843,0.18592000007629395,0.1881919950246811,0.18747519999742507,0.1879040002822876,0.0007866009501610096,1.2985600233078003,1.3152639865875244,1.3092960238456726,1.3131840229034424,0.00674238251478052,0.055904000997543335,0.05728000029921532,0.056454400345683095,0.056432001292705536,0.00040345375750205594,7168,128,512,1536,128,64,128,3936
0.06748799979686737,0.07968000322580338,0.06924160048365594,0.06806399673223495,0.0035048352097173364,0.14905600249767303,0.15107199549674988,0.1503008022904396,0.15040000528097153,0.000557285341591895,0.4551999866962433,0.45606398582458496,0.4555967956781387,0.45555199682712555,0.00027047347935267086,0.07705599814653397,0.0791039988398552,0.07838080003857613,0.0785440020263195,0.000561999621302264,0.21158400177955627,0.2136320024728775,0.21255040019750596,0.2125599980354309,0.0006409279083157096,0.10566399991512299,0.10761599987745285,0.1061760015785694,0.10606400296092033,0.0005250335964008386,0.18396799266338348,0.1860799938440323,0.18455039858818054,0.1844319999217987,0.0005497660427527731,1.4646400213241577,1.474560022354126,1.468124806880951,1.4673439860343933,0.003368479004008758,0.05427199974656105,0.05628800019621849,0.05513599999248982,0.055136000737547874,0.0006747371904063815,7168,128,512,1536,128,64,128,3904
0.06723199784755707,0.07897599786520004,0.0689023993909359,0.06782400235533714,0.0033846194285519545,0.14953599870204926,0.15078400075435638,0.15010560005903245,0.15011199563741684,0.00043449285798998795,0.4554559886455536,0.4560000002384186,0.455715200304985,0.4556799978017807,0.00015964878292015134,0.07779199630022049,0.08115199953317642,0.07833279818296432,0.07799999788403511,0.0009591950628953243,0.2112639993429184,0.21369600296020508,0.21273599863052367,0.21294400095939636,0.0007895654733769029,0.10499200224876404,0.10572800040245056,0.10538559928536415,0.10540799796581268,0.00020937317239606054,0.18121600151062012,0.18166400492191315,0.1814944013953209,0.1815200001001358,0.0001508089634297629,1.4658880233764648,1.4756159782409668,1.4713215947151184,1.4715520143508911,0.0036781846827254813,0.05446400120854378,0.0568000003695488,0.05510720014572144,0.05500799976289272,0.000622718498666622,7168,128,512,1536,128,64,128,3872
0.0666240006685257,0.07840000092983246,0.06832000091671944,0.06718399748206139,0.003380902626882818,0.1385599970817566,0.14137600362300873,0.13977279961109162,0.13971200585365295,0.0008424515286476042,0.419840008020401,0.4256959855556488,0.4229823976755142,0.42291200160980225,0.0020119696377104545,0.07734400033950806,0.07958400249481201,0.07834879979491234,0.07835200056433678,0.0006435422222814129,0.22467200458049774,0.22668799757957458,0.2255360007286072,0.22537600249052048,0.0006517311309214066,0.10339199751615524,0.10444799810647964,0.10396160036325455,0.1040480025112629,0.0003413072806374269,0.17977599799633026,0.18143999576568604,0.18073920011520386,0.18107199668884277,0.0006982215735527378,1.2913919687271118,1.3022079467773438,1.2984031796455384,1.2993760108947754,0.003284846367813408,0.0544000007212162,0.055776000022888184,0.055209600180387494,0.055344000458717346,0.0004319527439851788,7168,128,512,1536,128,64,128,3840
