time_stats.moe_block_norm.min,time_stats.moe_block_norm.max,time_stats.moe_block_norm.mean,time_stats.moe_block_norm.median,time_stats.moe_block_norm.std,time_stats.moe_router_gate.min,time_stats.moe_router_gate.max,time_stats.moe_router_gate.mean,time_stats.moe_router_gate.median,time_stats.moe_router_gate.std,time_stats.moe_router_softmax.min,time_stats.moe_router_softmax.max,time_stats.moe_router_softmax.mean,time_stats.moe_router_softmax.median,time_stats.moe_router_softmax.std,time_stats.moe_router_topk.min,time_stats.moe_router_topk.max,time_stats.moe_router_topk.mean,time_stats.moe_router_topk.median,time_stats.moe_router_topk.std,time_stats.moe_expert_dispatch.min,time_stats.moe_expert_dispatch.max,time_stats.moe_expert_dispatch.mean,time_stats.moe_expert_dispatch.median,time_stats.moe_expert_dispatch.std,time_stats.moe_expert_gemm.min,time_stats.moe_expert_gemm.max,time_stats.moe_expert_gemm.mean,time_stats.moe_expert_gemm.median,time_stats.moe_expert_gemm.std,time_stats.moe_expert_combine.min,time_stats.moe_expert_combine.max,time_stats.moe_expert_combine.mean,time_stats.moe_expert_combine.median,time_stats.moe_expert_combine.std,time_stats.moe_shared_expert.min,time_stats.moe_shared_expert.max,time_stats.moe_shared_expert.mean,time_stats.moe_shared_expert.median,time_stats.moe_shared_expert.std,time_stats.moe_block_residual.min,time_stats.moe_block_residual.max,time_stats.moe_block_residual.mean,time_stats.moe_block_residual.median,time_stats.moe_block_residual.std,hidden_size,num_routed_experts,num_experts_per_tok,expert_intermediate_size,num_shared_experts,num_tokens
0.06518399715423584,0.08819200098514557,0.06811839938163758,0.06603199988603592,0.006712500030522278,0.038975998759269714,0.03996799886226654,0.039471999555826184,0.03947199881076813,0.0003162174532091096,0.00684799998998642,0.007584000006318092,0.007305600075051188,0.007360000163316727,0.00024994852920025106,0.07568000257015228,0.07692799717187881,0.0763200007379055,0.07656000182032585,0.00043946179679041694,0.5163840055465698,0.5180799961090088,0.5171583950519562,0.5171520113945007,0.0004440521013346199,8.522879600524902,8.640959739685059,8.571727848052978,8.576255798339844,0.037636853521951105,0.7843199968338013,0.7879679799079895,0.7857087969779968,0.7857759892940521,0.0009548805006734078,0.574176013469696,0.5782080292701721,0.5763424098491668,0.5762400031089783,0.0011481794453388795,0.061535999178886414,0.06284800171852112,0.062352000176906584,0.06251199916005135,0.0004281910046714273,7168,256,8,2048,1,4096
0.06505600363016129,0.08278399705886841,0.06736640036106109,0.06569600105285645,0.005160574207569365,0.038943998515605927,0.03977600112557411,0.03926399983465671,0.03923200070858002,0.00025358911695282966,0.007199999876320362,0.007584000006318092,0.007440000120550394,0.007456000195816159,0.00010733130272634741,0.07619199901819229,0.07718399912118912,0.07669439986348152,0.07662400230765343,0.0003428774996031988,0.5166720151901245,0.5197439789772034,0.5177440047264099,0.517087996006012,0.0011987183505152493,8.515775680541992,8.57254409790039,8.548483276367188,8.548928260803223,0.01795933776742948,0.7848960161209106,0.7885760068893433,0.7866207957267761,0.7864319980144501,0.001082662866250097,0.5723839998245239,0.5776320099830627,0.5752640008926392,0.5750719904899597,0.0014927212516662807,0.06108799949288368,0.06300800293684006,0.06191359981894493,0.06155199930071831,0.0006994480553534789,7168,256,8,2048,1,4096
0.06431999802589417,0.08163200318813324,0.06719359979033471,0.06593600288033485,0.004860880184881523,0.0395519994199276,0.04150399938225746,0.040243199467658995,0.040063999593257904,0.0005724691934486166,0.006943999789655209,0.007552000228315592,0.007267200015485286,0.0072639998979866505,0.00018463210346002107,0.07494399696588516,0.07596799731254578,0.07546239942312241,0.07552000135183334,0.00036843194184626055,0.5146880149841309,0.5154240131378174,0.5150943994522095,0.5151039958000183,0.00019676079708096572,8.530207633972168,8.58131217956543,8.561865615844727,8.563295841217041,0.015814014221375666,0.7799680233001709,0.7817919850349426,0.7809472024440766,0.7809280157089233,0.0006115573843231518,0.5750399827957153,0.5775359869003296,0.576310396194458,0.5760959982872009,0.0008641188341822795,0.0607680007815361,0.062431998550891876,0.061417600512504576,0.06124800071120262,0.0005777832942850857,7168,256,8,2048,1,4064
0.06431999802589417,0.08163200318813324,0.06668800115585327,0.06496000289916992,0.005016963912280851,0.03766399994492531,0.03891199827194214,0.03834239989519119,0.03836799971759319,0.0004154580240033353,0.0071680000983178616,0.007615999784320593,0.007398400083184242,0.007392000174149871,0.00013860097531027556,0.07532799988985062,0.07657600194215775,0.0758880004286766,0.07575999945402145,0.00041309750952757917,0.5092800259590149,0.5134400129318237,0.5110815942287446,0.5112800002098083,0.001052602580393635,8.467583656311035,8.526335716247559,8.509686279296876,8.518415927886963,0.020271123804393103,0.7722880244255066,0.7785279750823975,0.7759648025035858,0.7764799892902374,0.001764371729922494,0.5689280033111572,0.5749120116233826,0.5724128007888794,0.5730240046977997,0.001629331461383784,0.06038400158286095,0.06239999830722809,0.06174719966948032,0.06185599975287914,0.0005356913198532908,7168,256,8,2048,1,4032
0.0642239972949028,0.08035200089216232,0.06646080017089843,0.06478400155901909,0.004662136656588275,0.037696000188589096,0.039423998445272446,0.038419200107455254,0.03830400109291077,0.0004853459436065681,0.006943999789655209,0.007872000336647034,0.007337599992752075,0.007376000052317977,0.0002922531963238763,0.07430399954319,0.0772479996085167,0.07548480033874512,0.0753760002553463,0.000841356249835309,0.5053120255470276,0.5131199955940247,0.5086848020553589,0.5090720057487488,0.0025441175733138936,8.461152076721191,8.555904388427734,8.511440086364747,8.504752159118652,0.031164939916253902,0.7668160200119019,0.7746880054473877,0.7704735934734345,0.7701279819011688,0.002536044580890851,0.5692800283432007,0.5777599811553955,0.5728096067905426,0.5727200210094452,0.002258565745109424,0.05987200140953064,0.061824001371860504,0.06086720041930675,0.06088000163435936,0.0007849401463443907,7168,256,8,2048,1,4000
0.06326399743556976,0.0809599980711937,0.06586240008473396,0.06427200138568878,0.005068940766256666,0.03753599897027016,0.040863998234272,0.0384639997035265,0.03828800097107887,0.0008754204524186189,0.007199999876320362,0.0077760000713169575,0.0074240000452846285,0.007392000174149871,0.00014664246172077177,0.07487999647855759,0.07599999755620956,0.07548159956932068,0.07552000135183334,0.00033708079719182635,0.502784013748169,0.5034880042076111,0.5031232059001922,0.5031200051307678,0.0002352362759251149,8.466848373413086,8.498047828674316,8.484256076812745,8.485375881195068,0.007926598221716027,0.7629439830780029,0.7654719948768616,0.7640447974205017,0.7639359831809998,0.0007021390497082807,0.5693759918212891,0.5716800093650818,0.5702623963356018,0.5699199736118317,0.000768407014577656,0.05923200026154518,0.06140799820423126,0.060598399862647055,0.060912000015378,0.0007095128396203292,7168,256,8,2048,1,3968
0.06294400244951248,0.08185599744319916,0.06585280001163482,0.06438399851322174,0.0053675437937039435,0.03779200091958046,0.039103999733924866,0.03819200024008751,0.037967998534440994,0.0004378855706033493,0.006912000011652708,0.007648000027984381,0.007196800038218498,0.007200000109151006,0.0002287272985311645,0.07286400347948074,0.07542400062084198,0.0738144002854824,0.07372800260782242,0.0007394769864073971,0.49875199794769287,0.50518399477005,0.500780799984932,0.4994239956140518,0.0023618104197590415,8.435903549194336,8.556511878967285,8.483599948883057,8.478384017944336,0.039211716743694384,0.756928026676178,0.7641919851303101,0.7588896095752716,0.7580000162124634,0.002434393512358576,0.5673919916152954,0.5756800174713135,0.5704703986644745,0.5691680014133453,0.002959505992672373,0.05929600074887276,0.060575999319553375,0.05987200066447258,0.059696000069379807,0.000502715431301612,7168,256,8,2048,1,3936
0.06259199976921082,0.07897599786520004,0.06509120017290115,0.06366400048136711,0.004673433560480507,0.03753599897027016,0.03951999917626381,0.03843199983239174,0.03831999935209751,0.0006675664630021457,0.0072639998979866505,0.007519999984651804,0.007385600032284856,0.007376000052317977,9.252374834624628e-05,0.07331199944019318,0.07459200173616409,0.07383360043168068,0.07363200187683105,0.0004514269611341914,0.4941760003566742,0.49935999512672424,0.49595839977264405,0.49484799802303314,0.0018223196249146606,8.356863975524902,8.41977596282959,8.388617706298827,8.387616157531738,0.019290600617057927,0.7517759799957275,0.756447970867157,0.7532191932201385,0.7528640031814575,0.0013832286142341646,0.5615360140800476,0.5697600245475769,0.5646656095981598,0.5639039874076843,0.0028397149277888676,0.0586559996008873,0.06067200005054474,0.0597376000136137,0.05998400039970875,0.0007324858233139614,7168,256,8,2048,1,3904
0.062111999839544296,0.07955200225114822,0.0646016001701355,0.0631520003080368,0.005015102132663708,0.037408001720905304,0.03903999924659729,0.03803200013935566,0.03798399865627289,0.0004620095196615196,0.006912000011652708,0.007519999984651804,0.007235199958086014,0.0072639998979866505,0.00019170647489155524,0.07254400104284286,0.0737600028514862,0.07317120134830475,0.0732319988310337,0.0004880816799845374,0.4905279874801636,0.49193599820137024,0.49108160138130186,0.49099200963974,0.00037674830221873766,8.331551551818848,8.383744239807129,8.35968313217163,8.358767986297607,0.015698443955863152,0.7446399927139282,0.7468159794807434,0.745472002029419,0.745279997587204,0.0007239323975541954,0.5627520084381104,0.5660799741744995,0.5636543929576874,0.5633599758148193,0.0009457869885646777,0.05820799991488457,0.05999999865889549,0.05928959995508194,0.05961599946022034,0.0006570221031365755,7168,256,8,2048,1,3872
0.061983998864889145,0.07903999835252762,0.06431359983980656,0.06284800171852112,0.004927621309620963,0.037376001477241516,0.038656000047922134,0.0379296001046896,0.03782400116324425,0.00045188049458398096,0.0072639998979866505,0.007615999784320593,0.007404799992218614,0.007391999941319227,9.406033657617411e-05,0.07295999675989151,0.07401599735021591,0.0734111987054348,0.07339200004935265,0.0003261645607969737,0.4862399995326996,0.4873279929161072,0.48666239678859713,0.48662400245666504,0.0003944701768279943,8.240480422973633,8.295136451721191,8.25644817352295,8.25439977645874,0.014861030888089313,0.7394559979438782,0.741599977016449,0.7401823937892914,0.7400639951229095,0.0007369710799215642,0.5480960011482239,0.5520640015602112,0.5506015956401825,0.5509119927883148,0.0013919791508979517,0.05782400071620941,0.060256000608205795,0.05903040021657944,0.05931200087070465,0.0007803080130551748,7168,256,8,2048,1,3840
0.060896001756191254,0.07795199751853943,0.06347200013697148,0.06176000088453293,0.004851546325392383,0.036959998309612274,0.039583999663591385,0.03823039941489696,0.03827199898660183,0.000749654182861597,0.006943999789655209,0.0074880002066493034,0.007206399971619248,0.007199999876320362,0.00019189342766655996,0.07039999961853027,0.07203199714422226,0.07120320126414299,0.07120000198483467,0.0005307461462027671,0.4803520143032074,0.48156800866127014,0.48084160387516023,0.4808320105075836,0.00031744489655367934,8.178720474243164,10.136351585388184,8.403456020355225,8.210383892059326,0.5778057526277995,0.7308160066604614,0.7447680234909058,0.733158403635025,0.7320640087127686,0.003909059595923552,0.5466240048408508,0.5515199899673462,0.5491967976093293,0.549344003200531,0.0014762437977762792,0.05689600110054016,0.05974400043487549,0.058505600318312645,0.05881600081920624,0.0008539922773327366,7168,256,8,2048,1,3808
0.06111999973654747,0.07923199981451035,0.06362880021333694,0.06172800064086914,0.005248276943186414,0.03747199848294258,0.0395519994199276,0.03805759996175766,0.03792000003159046,0.0005507440599926801,0.0071680000983178616,0.007519999984651804,0.007292800024151802,0.007231999887153506,0.00012835950669861802,0.07027199864387512,0.07168000191450119,0.07113280072808266,0.07144000008702278,0.0005280392582777398,0.47628799080848694,0.4773760139942169,0.4770272046327591,0.47705599665641785,0.0002870983148221012,8.146944046020508,8.19968032836914,8.167779350280762,8.167088031768799,0.014903101394684485,0.7258239984512329,0.7279360294342041,0.7270016074180603,0.7271040081977844,0.0007814573249133597,0.54448002576828,0.5489919781684875,0.5468864023685456,0.5475200116634369,0.0015169235748365437,0.05711999908089638,0.05878400057554245,0.05811839960515499,0.05833600088953972,0.0005244095304192864,7168,256,8,2048,1,3776
