batch_size_cap,total_decode_batches,io_bound_batches,io_bound_pct,avg_kv_load_ms,avg_compute_ms,max_kv_load_ms,max_compute_ms,median_ratio,p90_ratio,p95_ratio
1,32704,32704,100.0,1.3951,0.3164,1.5495,0.32,4.411,4.747,4.795
4,8264,8261,100.0,5.5209,0.4297,6.1816,1.3484,13.831,14.726,14.822
16,2121,2118,99.9,21.5111,0.7711,24.4922,1.6897,33.143,34.345,34.531
32,1159,1156,99.7,39.3658,1.1418,48.3443,2.023,43.485,44.837,45.049
64,1100,1097,99.7,41.47,1.2043,71.6872,2.315,31.64,50.723,51.004
