Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_decode_tokens,request_pd_ratio,request_num_restarts
0,5.122818077430772,0.010005504057481976,5.122818077430709,0.010005504057481853,5.122818077430709,0.010005504057481853,0.0,0.0,5.122818077430709,0.010005504057481853,0.25327426750826687,0.25327426750826687,0.00012366907593177093,0.009510827753754891,,2560,2048,512,4.0,0
1,5.112652128775663,0.009985648689014966,4.910035539352811,0.009589913162798459,4.910035539352811,0.009589913162798459,0.0,0.20261658942278915,4.910035539352811,0.009589913162798459,0.458308820130076,0.25569223070728686,0.0001248497220250424,0.009090514274698413,0.05065767808547772,2560,2048,512,4.0,0
2,4.663750379162745,0.009108887459302236,4.6615054539500225,0.009104502839746138,4.6615054539500225,0.009104502839746138,0.0,0.002244925212645299,4.6615054539500225,0.009104502839746138,0.23216669460675377,0.22992176939410847,0.00011226648896196702,0.00865543688389842,0.6432481281499309,2560,2048,512,4.0,0
3,4.478044981665789,0.008746181604815995,4.47572909154889,0.008741658381931425,4.47572909154889,0.008741658381931425,0.0,0.002315890116829422,4.47572909154889,0.008741658381931425,0.20597794966932836,0.20366205955249894,9.944436501586862e-05,0.008343880921868087,0.505172371340227,2560,2048,512,4.0,0
4,4.869337787257868,0.009510425365738023,4.868793965244501,0.009509363213368167,4.868793965244501,0.009509363213368167,0.0,0.0005438220132996108,4.868793965244501,0.009509363213368167,0.17136602233147702,0.1708222003181774,8.340927749911006e-05,0.009175726103371857,2.667185345616166,2560,2048,512,4.0,0
5,5.7359335565372085,0.011202995227611735,5.73112804259991,0.01119360945820295,5.73112804259991,0.01119360945820295,0.0,0.0048055139372138456,5.73112804259991,0.01119360945820295,0.25752022056009416,0.2527147066228803,0.00012339585284320328,0.010700026046830301,2.2583460175971855,2560,2048,512,4.0,0
6,5.357869865811605,0.01046458958166329,5.344852395775262,0.010439164835498558,5.344852395775262,0.010439164835498558,0.0,0.013017470036141177,5.344852395775262,0.010439164835498558,0.3066124041948459,0.29359493415870475,0.00014335690144468005,0.009865737229720232,4.45457619910276,2560,2048,512,4.0,0
7,5.208359255445361,0.01017257667079172,5.143191410818972,0.010045295724255804,5.143191410818972,0.010045295724255804,0.0,0.06516784462619185,5.143191410818972,0.010045295724255804,0.29775349020195385,0.232585645575762,0.00011356720975379004,0.009591026885241029,0.18190480921313146,2560,2048,512,4.0,0
8,5.035409673818581,0.009834784519176916,5.032049444390213,0.009828221571074635,5.032049444390213,0.009828221571074635,0.0,0.0033602294283348044,5.032049444390213,0.009828221571074635,0.27333372188200045,0.26997349245366564,0.00013182299436214143,0.009300929593626134,1.0960923187929819,2560,2048,512,4.0,0
9,5.007301867679487,0.009779886460311499,4.849278853257139,0.009471247760267849,4.849278853257139,0.009471247760267849,0.0,0.15802301442232114,4.849278853257139,0.009471247760267849,0.3691344467872586,0.21111143236493746,0.00010308175408444212,0.009058920743930134,0.06050035441471735,2560,2048,512,4.0,0
10,4.68393445960605,0.009148309491418066,4.678665755083163,0.009138019052896802,4.678665755083163,0.009138019052896802,0.0,0.005268704522881862,4.678665755083163,0.009138019052896802,0.1874080787052712,0.18213937418238935,8.89352412999948e-05,0.008782278087696833,0.4934333919196483,2560,2048,512,4.0,0
11,4.6683091200994,0.00911779125019414,4.665932220282596,0.009113148867739446,4.665932220282596,0.009113148867739446,0.0,0.002376899816882272,4.665932220282596,0.009113148867739446,0.18277403752969157,0.1803971377128093,8.808453989883266e-05,0.008760810708143961,1.4078310557323075,2560,2048,512,4.0,0
12,4.743654455663345,0.00926495010871747,4.651480172682474,0.009084922212270457,4.651480172682474,0.009084922212270457,0.0,0.09217428298094354,4.651480172682474,0.009084922212270457,0.23262276261968573,0.14044847963874219,6.857835919860458e-05,0.008810608775475896,0.053788807360614754,2560,2048,512,4.0,0
13,4.600912310554424,0.00898615685655161,4.59301171781711,0.008970726011361544,4.59301171781711,0.008970726011361544,0.0,0.00790059273742827,4.59301171781711,0.008970726011361544,0.11452795494198398,0.10662736220455571,5.206414170144322e-05,0.008762469444555547,0.44338333832735977,2560,2048,512,4.0,0
14,4.6903970316894785,0.009160931702518513,4.682549696521216,0.009145604876018,4.682549696521216,0.009145604876018,0.0,0.007847335168488456,4.682549696521216,0.009145604876018,0.12925043081474286,0.1214030956462544,5.9278855296022656e-05,0.008908489454833468,2.098984002445146,2560,2048,512,4.0,0
15,4.605738685405768,0.008995583369933141,4.6015980777757886,0.008987496245655837,4.6015980777757886,0.008987496245655837,0.0,0.004140607630155557,4.6015980777757886,0.008987496245655837,0.17355919469490289,0.16941858706474733,8.272391946520866e-05,0.008656600567794659,1.5746585084848022,2560,2048,512,4.0,0
16,4.480177842863068,0.008750347349341929,4.472638470271272,0.008735622012248577,4.472638470271272,0.008735622012248577,0.0,0.007539372591978122,4.472638470271272,0.008735622012248577,0.18628474658203587,0.17874537399005774,8.727801464358288e-05,0.00838650995367389,0.4980528379336455,2560,2048,512,4.0,0
17,4.9980004361844195,0.009761719601922694,4.996050360747595,0.009757910860835146,4.996050360747595,0.009757910860835146,0.0,0.0019500754370014306,4.996050360747595,0.009757910860835146,0.198347050526003,0.19639697508900156,9.589696049267654e-05,0.009374323018864095,1.7796174126035247,2560,2048,512,4.0,0
18,4.859697632987132,0.009491596939427992,4.85968320318045,0.009491568756211816,4.85968320318045,0.009491568756211816,0.0,1.4429806718396776e-05,4.85968320318045,0.009491568756211816,0.2942622340961485,0.2942478042894301,0.0001436756856881983,0.008916866013458952,3.315476188446194,2560,2048,512,4.0,0
19,4.879392467147198,0.009530063412396872,4.657840494541287,0.009097344715900952,4.657840494541287,0.009097344715900952,0.0,0.2215519726059476,4.657840494541287,0.009097344715900952,0.4547951337583882,0.2332431611524406,0.00011388826228146513,0.00864179166677502,0.013039937108533906,2560,2048,512,4.0,0
20,5.347640296349933,0.010444609953808463,5.344982801722124,0.010439419534613524,5.344982801722124,0.010439419534613524,0.0,0.002657494627968049,5.344982801722124,0.010439419534613524,0.22449416784004228,0.22183667321207423,0.00010831868809183312,0.01000614478224588,3.2779317241811015,2560,2048,512,4.0,0
21,4.814573511298548,0.009403463889254976,4.803386571459805,0.009381614397382432,4.803386571459805,0.009381614397382432,0.0,0.011186939838840004,4.803386571459805,0.009381614397382432,0.26400382585276816,0.25281688601392815,0.00012344574512398836,0.008887831416886288,2.3955798819469685,2560,2048,512,4.0,0
22,4.525313542827952,0.008838503013335844,4.524656030569018,0.008837218809705113,4.524656030569018,0.008837218809705113,0.0,0.0006575122590177784,4.524656030569018,0.008837218809705113,0.2266148658263063,0.22595735356728852,0.0001103307390465276,0.00839589585351884,0.8317901729971595,2560,2048,512,4.0,0
23,4.450067920433682,0.008691538907097035,4.448053565984676,0.00868760462106382,4.448053565984676,0.00868760462106382,0.0,0.002014354449094924,4.448053565984676,0.00868760462106382,0.2032200351224489,0.20120568067335398,9.824496126628612e-05,0.008294624775998502,0.33797253617454004,2560,2048,512,4.0,0
24,5.353428018810064,0.010455914099238406,5.353428018810293,0.010455914099238853,5.353428018810293,0.010455914099238853,0.0,0.0,5.353428018810293,0.010455914099238853,0.2532742675082673,0.2532742675082673,0.00012366907593177115,0.009961237795511321,6.0,2560,2048,512,4.0,0
25,4.880901975550884,0.00953301167099782,4.874662990807565,0.009520826153921025,4.874662990807565,0.009520826153921025,0.0,0.006238984743589526,4.874662990807565,0.009520826153921025,0.30450303009243385,0.2982640453488443,0.0001456367408929904,0.008938279190348536,0.8207378597621684,2560,2048,512,4.0,0
26,4.7186277359604745,0.009216069796797802,4.669263581141769,0.009119655431917518,4.669263581141769,0.009119655431917518,0.0,0.049364154818967165,4.669263581141769,0.009119655431917518,0.3286964996388164,0.27933234481984925,0.00013639274649406702,0.008574084445940738,0.19466530267991544,2560,2048,512,4.0,0
27,4.548886599513615,0.00888454413967503,4.4788490217602455,0.00874775199562548,4.4788490217602455,0.00874775199562548,0.0,0.07003757775363795,4.4788490217602455,0.00874775199562548,0.28313396364031007,0.21309638588667212,0.00010405096967122662,0.008331548116940049,0.2034373699912635,2560,2048,512,4.0,0
28,5.3883464933320155,0.010524114244789093,5.3842141141151485,0.01051604319163115,5.3842141141151485,0.01051604319163115,0.0,0.004132379216876814,5.3842141141151485,0.01051604319163115,0.17102027480484594,0.16688789558796913,8.148823026756305e-05,0.010190090270560878,3.7611074832662794,2560,2048,512,4.0,0
