batch_id,replica_id,stage_id,enable_prefetch,layer_index,attention_compute_time,mlp_compute_time,kv_cache_load_time,weight_load_time,tensor_parallel_comm_time,expert_parallel_comm_time,prefetch_overlap_savings,is_moe_layer,num_active_experts,routing_time,compute_time,io_time,comm_time,effective_io_time,total_time,start_time,end_time
0,0,0,True,0,0.2076533176671229,0.4943045090603289,0.0,0.0,0.3073557830058833,0.0,0.0,False,0,0.0,0.7019578267274518,0.0,0.3073557830058833,0.0,1.009313609733335,2.040120574549602,2.0411298881593356
0,0,0,True,1,0.2076533176671229,0.4943045090603289,0.0,0.0,0.3073557830058833,0.0,0.0,False,0,0.0,0.7019578267274518,0.0,0.3073557830058833,0.0,1.009313609733335,2.0411298881593356,2.0421392017690687
0,0,0,True,2,0.2076533176671229,0.4943045090603289,0.0,0.0,0.3073557830058833,0.0,0.0,False,0,0.0,0.7019578267274518,0.0,0.3073557830058833,0.0,1.009313609733335,2.0421392017690687,2.0431485153788023
0,0,0,True,3,0.2076533176671229,0.4943045090603289,0.0,0.0,0.3073557830058833,0.0,0.0,False,0,0.0,0.7019578267274518,0.0,0.3073557830058833,0.0,1.009313609733335,2.0431485153788023,2.0441578289885354
0,0,0,True,4,0.2076533176671229,0.4943045090603289,0.0,0.0,0.3073557830058833,0.0,0.0,False,0,0.0,0.7019578267274518,0.0,0.3073557830058833,0.0,1.009313609733335,2.0441578289885354,2.045167142598269
0,0,0,True,5,0.2076533176671229,0.4943045090603289,0.0,0.0,0.3073557830058833,0.0,0.0,False,0,0.0,0.7019578267274518,0.0,0.3073557830058833,0.0,1.009313609733335,2.045167142598269,2.046176456208002
0,0,0,True,6,0.2076533176671229,0.4943045090603289,0.0,0.0,0.3073557830058833,0.0,0.0,False,0,0.0,0.7019578267274518,0.0,0.3073557830058833,0.0,1.009313609733335,2.046176456208002,2.0471857698177356
0,0,0,True,7,0.2076533176671229,0.4943045090603289,0.0,0.0,0.3073557830058833,0.0,0.0,False,0,0.0,0.7019578267274518,0.0,0.3073557830058833,0.0,1.009313609733335,2.0471857698177356,2.0481950834274687
0,0,0,True,8,0.2076533176671229,0.4943045090603289,0.0,0.0,0.3073557830058833,0.0,0.0,False,0,0.0,0.7019578267274518,0.0,0.3073557830058833,0.0,1.009313609733335,2.0481950834274687,2.0492043970372023
0,0,0,True,9,0.2076533176671229,0.4943045090603289,0.0,0.0,0.3073557830058833,0.0,0.0,False,0,0.0,0.7019578267274518,0.0,0.3073557830058833,0.0,1.009313609733335,2.0492043970372023,2.0502137106469354
