time_stats.mla_q_down_proj.min,time_stats.mla_q_down_proj.max,time_stats.mla_q_down_proj.mean,time_stats.mla_q_down_proj.median,time_stats.mla_q_down_proj.std,time_stats.mla_q_up_proj.min,time_stats.mla_q_up_proj.max,time_stats.mla_q_up_proj.mean,time_stats.mla_q_up_proj.median,time_stats.mla_q_up_proj.std,time_stats.mla_kv_down_proj.min,time_stats.mla_kv_down_proj.max,time_stats.mla_kv_down_proj.mean,time_stats.mla_kv_down_proj.median,time_stats.mla_kv_down_proj.std,time_stats.mla_kv_up_proj.min,time_stats.mla_kv_up_proj.max,time_stats.mla_kv_up_proj.mean,time_stats.mla_kv_up_proj.median,time_stats.mla_kv_up_proj.std,time_stats.mla_rope.min,time_stats.mla_rope.max,time_stats.mla_rope.mean,time_stats.mla_rope.median,time_stats.mla_rope.std,time_stats.mla_attn_score.min,time_stats.mla_attn_score.max,time_stats.mla_attn_score.mean,time_stats.mla_attn_score.median,time_stats.mla_attn_score.std,time_stats.mla_o_proj.min,time_stats.mla_o_proj.max,time_stats.mla_o_proj.mean,time_stats.mla_o_proj.median,time_stats.mla_o_proj.std,time_stats.mla_block_norm.min,time_stats.mla_block_norm.max,time_stats.mla_block_norm.mean,time_stats.mla_block_norm.median,time_stats.mla_block_norm.std,time_stats.mla_block_residual.min,time_stats.mla_block_residual.max,time_stats.mla_block_residual.mean,time_stats.mla_block_residual.median,time_stats.mla_block_residual.std,num_tokens,hidden_size,num_heads,kv_lora_rank,q_lora_rank,qk_nope_head_dim,qk_rope_head_dim,v_head_dim
0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.0010231120000764222,0.0010023112000076423,0.001,6.93360002292666e-06,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.0027285156248234546,0.003197194298881612,0.0029960293584443236,0.003017715349150819,0.00015004381255250286,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,1,7168,128,512,1536,128,64,128
0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.0017057073935454576,0.002084351711068424,0.0018952389205757903,0.0018728924756098958,0.00010499991251443251,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.005259564155152388,0.006250848133157632,0.0057962145696029335,0.005778548846789378,0.0003299583966281002,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,2,7168,128,512,1536,128,64,128
0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.0026443327482961717,0.0030370526830125295,0.0028395501347296373,0.002807197877582264,0.00011536409175997225,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.0011341672657541112,0.0013780876369087103,0.001219704533764993,0.001215646712982187,7.206271474198346e-05,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.007870929202315564,0.0095887923922071,0.008827099568027942,0.00877877432900456,0.00042559702087884645,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,3,7168,128,512,1536,128,64,128
0.0010081968459230606,0.0011999772165337545,0.0010972871022247247,0.0010924064897513772,5.136570328011905e-05,0.0035254668235637173,0.0040991472232153455,0.0037404642051205375,0.0037408432931386225,0.00017257681199697728,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.0015973977529735377,0.0018351605484317444,0.0017073155238046818,0.0017021542405149899,6.51211256565299e-05,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.011225626986764818,0.01263301950925282,0.011899333143104415,0.011838096360349798,0.00045723422324441047,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,4,7168,128,512,1536,128,64,128
0.0012445786206844811,0.0014575914935609307,0.0013875215957302035,0.0014061631273160546,6.668018937413353e-05,0.004130458307369889,0.004883505898032772,0.004572944543258843,0.004614064874753117,0.0002227958514450844,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001976606011142616,0.0022419761881286495,0.002117004826706539,0.002101854129779648,6.653819002187214e-05,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.014044438445604199,0.015800237766142707,0.014816120867710923,0.014864665626519124,0.0005085668245809167,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,5,7168,128,512,1536,128,64,128
0.001549705216676266,0.0017601221384821464,0.0016455631865647503,0.001644216696642769,7.55772798821839e-05,0.00539047434994939,0.006105920541720847,0.005802346940206957,0.005838868778156016,0.00021717858829017642,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.0022443586284270033,0.0026459422125396388,0.002508930997435015,0.002560623449545595,0.00012527695438618947,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.017235968756184532,0.01887750744526791,0.01810125095640245,0.018151285570961774,0.0005012610870309007,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,6,7168,128,512,1536,128,64,128
0.0017649189542184819,0.00208522703959367,0.0019259923015820097,0.0019209519068379764,7.481585493592135e-05,0.005793688151704359,0.007125233527640537,0.006473841408567041,0.006385399712478762,0.0004302087815146914,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.0027273355874764408,0.0031190988394336596,0.0029424458997153046,0.0029301022502261614,0.00013988142843404308,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.01886043231506998,0.021953718196277536,0.020335917503838553,0.0203971339001763,0.0008992200777930923,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,7,7168,128,512,1536,128,64,128
0.001999684464519836,0.0023704655108785543,0.0021999286548817993,0.002165196598755401,0.00011284140223120308,0.006608446775373367,0.007994219678771779,0.007581388464829914,0.007673289669648449,0.0003785926647752791,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.0030636541709368804,0.0035343042861425943,0.0034351305485344026,0.0034754672239474295,0.0001319243523957562,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.022849982243376598,0.025185122880455706,0.02387317066400381,0.023557501160630136,0.0007961412297674309,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,8,7168,128,512,1536,128,64,128
0.0022950389622911666,0.0026578886740068306,0.0025422062534855155,0.0025646289251624217,0.0001116072419356697,0.007628778535424657,0.009026776245080552,0.008305655946059495,0.008296593569416186,0.0003836061885836369,0.001,0.0010117136564606482,0.0010011713656460648,0.001,3.5140969381944636e-06,0.0036801626642414442,0.0040671920258543584,0.0038241360862579614,0.0037940346683639353,0.00011467734503667869,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.02384758043170444,0.02914859540082311,0.02650996420814216,0.026727871464743706,0.0013471208853969283,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,9,7168,128,512,1536,128,64,128
0.0026559784005285494,0.0029010357500726305,0.0027785604971115848,0.0027763798626364903,7.905605852413778e-05,0.008573402329143233,0.010129864991736695,0.00938545570428773,0.009420435620837983,0.00041911938438456186,0.001,0.001116078056826083,0.0010505431401222043,0.0010439860741578624,4.147058609234249e-05,0.003887607699372953,0.004473085547161788,0.004193453022461135,0.0042122411910552725,0.0001906686759904282,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.02589143566031684,0.032124207307731835,0.029203166665456144,0.029076098200690507,0.0017692606831770953,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,0.001,0.001,0.0010000000000000002,0.001,2.168404344971009e-19,10,7168,128,512,1536,128,64,128
